old_index,beds,longitude,latitude,mean_neighbor_price
14404,3,-122.436356,37.715454,596333.3333
14405,3,-122.436356,37.72797,1085000
14406,3,-122.436356,37.735836,1170666.667
14407,4,-122.436356,37.735836,1664166.667
14408,2,-122.43635,37.719826,635000
14409,3,-122.43635,37.745525,2098333.333
14410,3,-122.43635,37.746334,1916666.667
14411,3,-122.43635,37.751617,1335000
14412,3,-122.43635,37.751617,1335000
14413,3,-122.43634,37.757587,1863333.333
14414,4,-122.43634,37.804626,3620833.333
14415,4,-122.43634,37.804626,3620833.333
14416,6,-122.43633,37.72528,923333.3333
14417,2,-122.436325,37.72529,717666.6667
14418,2,-122.43631,37.71842,540000
14419,3,-122.43631,37.74001,1066000
14420,3,-122.4363,37.715553,596333.3333
14421,4,-122.4363,37.737244,1631666.667
14422,2,-122.436295,37.76495,1952333.333
14423,2,-122.436295,37.76495,1952333.333
14424,3,-122.43629,37.799374,1530000
14425,3,-122.43629,37.799374,1530000
14426,4,-122.43628,37.73673,1773333.333
14427,4,-122.43628,37.740047,1900000
14428,3,-122.43628,37.750874,1453333.333
14429,3,-122.43627,37.74635,1916666.667
14430,5,-122.436264,37.716927,675000
14431,2,-122.436264,37.799377,1376666.667
14433,3,-122.43626,37.729218,1093423
14434,3,-122.43626,37.7925,1923333.333
14435,3,-122.43626,37.7925,1923333.333
14436,3,-122.43624,37.73253,965666.6667
14437,2,-122.43624,37.763397,1318333.333
14438,3,-122.43623,37.794094,4835808.333
14439,3,-122.436226,37.726444,898833.3333
14440,2,-122.436226,37.732655,1007666.667
14441,3,-122.436226,37.737793,844000
14442,3,-122.436226,37.804653,2425000
14443,2,-122.43622,37.726837,679333.3333
14444,3,-122.43622,37.737846,844000
14445,2,-122.43621,37.71998,635000
14446,2,-122.43621,37.72814,718200
14447,3,-122.43621,37.732704,965666.6667
14448,2,-122.43621,37.7378,1108000
14450,3,-122.4362,37.73273,965666.6667
14451,4,-122.4362,37.745533,1631666.667
14452,4,-122.4362,37.745533,1631666.667
14453,4,-122.4362,37.745533,1631666.667
14454,3,-122.4362,37.750202,1758333.333
14456,3,-122.436195,37.737907,940666.6667
14457,2,-122.43619,37.71858,540000
14458,4,-122.43619,37.73803,3016333.333
14459,2,-122.43619,37.738064,1108000
14460,2,-122.43619,37.744728,1190000
14462,2,-122.43618,37.72521,717666.6667
14463,2,-122.43618,37.72521,717666.6667
14464,3,-122.43618,37.73798,940666.6667
14465,2,-122.43618,37.761402,1365000
14467,4,-122.43617,37.750027,2741666.667
14468,3,-122.43617,37.750065,2146666.667
14469,4,-122.436165,37.746357,2556666.667
14470,3,-122.436165,37.747948,1573333.333
14471,4,-122.43615,37.735847,1664166.667
14472,2,-122.436134,37.728245,718200
14473,2,-122.43613,37.749363,810666.6667
14474,3,-122.43613,37.7495,2163333.333
14475,3,-122.43611,37.71291,618333.3333
14476,4,-122.4361,37.73839,3016333.333
14477,4,-122.4361,37.794113,4583333
14478,3,-122.43609,37.73838,1277333.333
14479,3,-122.43609,37.747166,1958333.333
14480,2,-122.43608,37.721058,566000
14481,2,-122.436066,37.725952,630000
14482,2,-122.436066,37.730038,602000
14483,1,-122.436066,37.73487,598333.3333
14484,2,-122.436066,37.748646,1447666.667
