old_index,sf,longitude,latitude,mean_hood_ppsf
518,1185,-122.50502,37.74758,889.8573693
519,1465,-122.50502,37.762894,870.8496732
520,1465,-122.50502,37.77812,1033.865967
521,1975,-122.50502,37.77825,835.5316724
522,1370,-122.505005,37.773487,881.4296064
524,1290,-122.505005,37.77792,1032.818533
525,1427,-122.505005,37.77812,1056.689342
526,1292,-122.505,37.746994,882.6986967
527,1537,-122.505,37.762608,745.8937198
528,1294,-122.50499,37.74693,882.6986967
529,1055,-122.50498,37.777725,1073.899371
530,950,-122.50498,37.777725,1147.88505
531,1566,-122.504974,37.746933,790.9854176
532,1566,-122.504974,37.746933,790.9854176
533,1290,-122.504974,37.77746,1005.600815
534,2018,-122.504974,37.77746,833.3582424
535,1055,-122.50497,37.76209,903.4795764
537,1100,-122.50496,37.762024,903.4795764
538,1100,-122.50495,37.74642,949.2732127
539,1863,-122.50495,37.76196,672.7272727
540,1200,-122.504944,37.74642,913.99299
541,1822,-122.504944,37.74642,677.8172304
542,1700,-122.50494,37.75859,783.1566313
543,1055,-122.50492,37.7461,914.893617
544,1055,-122.504906,37.745846,914.893617
545,975,-122.504906,37.761227,949.5176849
546,1427,-122.504906,37.76129,870.8496732
547,1295,-122.504906,37.77674,1005.600815
548,3028,-122.5049,37.74578,559.0361446
550,1771,-122.50489,37.761005,774.6346946
551,1240,-122.50488,37.758595,903.4795764
552,836,-122.504875,37.76078,1180.8
554,1656,-122.504875,37.77626,930.2822926
555,1000,-122.50487,37.739887,1055.36
556,1808,-122.50487,37.776,773.2834806
557,1688,-122.504845,37.744877,750.2665814
558,2440,-122.50482,37.744686,616.4971244
559,1100,-122.5048,37.759586,847.5218659
560,1013,-122.5048,37.75978,876.7295597
561,1956,-122.5048,37.775063,805.3288926
562,1449,-122.50478,37.75486,829.5855379
563,1125,-122.50478,37.759586,847.5218659
564,1125,-122.50478,37.759586,847.5218659
565,1175,-122.50478,37.775,1037.552156
567,1775,-122.504776,37.7592,686.4014801
568,1332,-122.504776,37.759396,918.341389
569,1858,-122.504776,37.774742,849.2541659
570,1150,-122.50477,37.74392,985.8433735
571,1274,-122.50476,37.739902,887.2901679
572,1427,-122.50476,37.75901,1018.721128
573,1427,-122.50476,37.759266,1018.721128
574,1400,-122.50476,37.77471,983.0065359
575,2400,-122.50476,37.77471,718.8940092
576,1360,-122.50475,37.77439,881.4296064
577,800,-122.50474,37.73804,1188.323917
578,1250,-122.50474,37.758884,928.1690141
579,1600,-122.50474,37.77442,860.4307432
580,1012,-122.50473,37.743202,1015.448986
581,1250,-122.50472,37.743332,961.2903226
584,1525,-122.504715,37.74301,798.3467479
585,1045,-122.50471,37.74314,932.7325394
587,1366,-122.5047,37.7582,1011.823899
588,1128,-122.5047,37.773846,981.0305776
589,1175,-122.50469,37.74288,938.8732394
590,1011,-122.50469,37.751125,982.9372334
591,1100,-122.50469,37.75801,858.8571429
592,1055,-122.50468,37.742687,1042.289348
593,1000,-122.50468,37.757977,963.6913767
594,1750,-122.50468,37.757977,701.230884
595,1400,-122.50468,37.75804,1011.823899
596,1330,-122.50468,37.75804,1011.823899
597,1427,-122.50468,37.773357,881.4296064
598,1300,-122.50466,37.742302,917.6470588
